batch,time
0,4000
1,3916
2,3959
3,3708
4,3708
5,4042
6,4250
7,3958
8,3667
9,4125
10,3750
11,3708
12,4125
13,3750
14,4417
15,4125
16,3708
17,3875
18,3708
19,3709
20,3875
21,4125
22,4375
23,3958
24,4125
25,3750
26,4000
27,3709
28,3667
29,3916
30,3750
31,4375
32,3875
33,4125
34,4292
35,3750
36,3750
37,4000
38,3750
39,4500
40,3708
41,3791
42,3792
43,4084
44,3750
45,4125
46,4292
47,4333
48,4000
49,3833
50,3959
51,3875
52,3750
53,3667
54,3750
55,4375
56,3833
57,3709
58,3750
59,3917
60,3875
61,3750
62,3750
63,4333
64,3750
65,3750
66,3792
67,3959
68,3750
69,4000
70,3708
71,3708
72,4416
73,3875
74,3834
75,3708
76,3709
77,3708
78,3750
79,3708
80,4291
81,3750
82,4041
83,3916
84,3750
85,4250
86,3708
87,3750
88,4459
89,3875
90,3750
91,3916
92,3916
93,4166
94,4292
95,3750
96,4250
97,3708
98,4084
99,4625
100,3792
101,4083
102,4167
103,3833
104,4375
105,4583
106,3875
107,3750
108,3750
109,3750
110,3708
111,3834
112,3667
113,4333
114,3917
115,3750
116,3834
117,3958
118,3709
119,3708
120,4125
121,4500
122,3709
123,3708
124,3708
125,3666
126,3791
127,3916
128,3916
129,4709
130,4167
131,4167
132,3917
133,3958
134,3750
135,3750
136,3750
137,5000
138,3750
139,3750
140,3833
141,3667
142,3875
143,3833
144,3750
145,4292
146,4125
147,3750
148,3750
149,3792
150,3750
151,3958
152,4042
153,4167
154,4000
155,3708
156,4250
157,3708
158,3834
159,3708
160,4041
161,3750
162,4375
163,3750
164,4084
165,3958
166,3750
167,3708
168,3708
169,3750
170,4291
171,3791
172,3709
173,3708
174,3625
175,4084
176,3916
177,3875
178,4459
179,3875
180,3750
181,3750
182,3709
183,3750
184,4084
185,3667
186,4666
187,4000
188,4042
189,3750
190,3791
191,3958
192,3750
193,3792
194,4167
195,3958
196,3834
197,4084
198,3916
199,4083
200,4166
201,3750
202,3667
203,4333
204,3750
205,4000
206,3750
207,3792
208,3750
209,3917
210,3750
211,4375
212,3833
213,3792
214,3708
215,3916
216,3750
217,4042
218,3958
219,4333
220,3708
221,3916
222,3792
223,3666
224,4041
225,4333
226,4709
227,4833
228,3709
229,4000
230,3750
231,3709
232,3750
233,4083
234,3666
235,4333
236,4000
237,3750
238,3875
239,4334
240,3666
241,3709
242,4000
243,3875
244,4500
245,3791
246,3750
247,3750
248,3833
249,3750
250,3625
251,4375
252,4375
253,3750
254,3708
255,3709
256,3750
257,3750
258,3750
259,3750
260,4500
261,3709
262,3750
263,3708
264,3958
265,3958
266,3959
267,3791
268,5084
269,3875
270,4375
271,4250
272,3875
273,3958
274,4167
275,4042
276,4334
277,4416
278,3959
279,4125
280,4375
281,3709
282,3708
283,3708
284,3750
285,4458
286,3875
287,3792
288,3833
289,3917
290,4667
291,3875
292,4209
293,4500
294,3834
295,4000
296,3834
297,4167
298,3750
299,4041
300,4042
301,4750
302,4000
303,3916
304,3708
305,3792
306,3708
307,3917
308,4458
309,5041
310,3750
311,4333
312,3833
313,4000
314,3792
315,4083
316,3750
317,4750
318,3750
319,4250
320,3792
321,3875
322,4291
323,3833
324,3708
325,4041
326,4583
327,4125
328,4167
329,4458
330,3833
331,3792
332,3833
333,3917
334,4625
335,4042
336,3875
337,4000
338,4042
339,3792
340,4042
341,3792
342,4958
343,4500
344,4541
345,4250
346,3833
347,4250
348,3916
349,3875
350,4375
351,3917
352,3833
353,4042
354,3750
355,3791
356,3875
357,3750
358,4292
359,3958
360,3708
361,3750
362,3917
363,4000
364,4167
365,4000
366,4625
367,4333
368,4084
369,3709
370,3792
371,3917
372,3917
373,3917
374,3709
375,4583
376,3709
377,3708
378,3792
379,3792
380,3750
381,3708
382,3709
383,4250
384,4209
385,3750
386,4000
387,3750
388,3875
389,4084
390,3875
391,4375
392,3959
393,3875
394,3750
395,3834
396,3792
397,3750
398,3750
399,4375
400,3917
401,4084
402,3750
403,4042
404,3709
405,4333
406,3833
407,4250
408,4500
409,5000
410,4042
411,4000
412,3959
413,4292
414,4000
415,3916
416,4958
417,3917
418,3959
419,3708
420,3875
421,4084
422,3958
423,4417
424,4459
425,3833
426,3917
427,4333
428,3750
429,4500
430,3792
431,4000
432,4791
433,3792
434,3667
435,3959
436,3708
437,4500
438,4042
439,3875
440,4541
441,3916
442,3708
443,4167
444,3917
445,4250
446,3792
447,4125
448,4417
449,4208
450,4083
451,3917
452,4333
453,4791
454,4125
455,4292
456,3708
457,4500
458,3750
459,3750
460,4000
461,4667
462,4458
463,3916
464,3750
465,4625
466,3791
467,4084
468,3833
469,3833
470,4041
471,3708
472,3834
473,4458
474,3750
475,3708
476,3666
477,4000
478,3833
479,3667
480,3708
481,4458
482,4042
483,3750
484,4167
485,3875
486,4042
487,3833
488,4125
489,4708
490,3750
491,3959
492,3875
493,3875
494,3833
495,3750
496,3875
497,4125
498,4625
499,4125
500,3834
501,3750
502,3875
503,3709
504,4000
505,3708
506,4417
507,4084
508,3708
509,4000
510,4167
511,4459
512,3916
513,3791
514,4458
515,3792
516,4000
517,4042
518,3709
519,3875
520,4250
521,3958
522,4542
523,3792
524,3833
525,4250
526,3708
527,3791
528,3708
529,3709
530,4333
531,3916
532,4084
533,3875
534,3708
535,3917
536,3958
537,3750
538,3666
539,4417
540,3917
541,4250
542,4041
543,3791
544,3834
545,4042
546,3958
547,4333
548,4083
549,3833
550,4750
551,3667
552,3667
553,4000
554,3833
555,4584
556,3791
557,3834
558,3875
559,3958
560,3708
561,8417
562,4083
563,5042
564,4125
565,4125
566,4209
567,5584
568,5167
569,4750
570,4041
571,4625
572,4167
573,4416
574,3875
575,4000
576,3709
577,4500
578,4417
579,4334
580,4167
581,4583
582,4291
583,3959
584,3750
585,3833
586,4166
587,4000
588,4667
589,4375
590,4125
591,4250
592,4292
593,4083
594,4209
595,4083
596,4666
597,4125
598,3834
599,3750
600,4250
601,3875
602,4750
603,4000
604,5167
605,4292
606,4292
607,4792
608,3958
609,3875
610,4667
611,3958
612,5083
613,4375
614,4375
615,3792
616,4417
617,5166
618,4334
619,4041
620,4250
621,4125
622,4500
623,3875
624,4125
625,3833
626,4000
627,4625
628,4333
629,4792
630,4125
631,4541
632,4208
633,4125
634,4042
635,4250
636,4208
637,4958
638,4000
639,3917
640,3750
641,3958
642,3958
643,3875
644,3792
645,4792
646,3833
647,4000
648,4292
649,4292
650,4125
651,4084
652,3750
653,4709
654,3958
655,4084
656,3917
657,3958
658,3666
659,3834
660,4083
661,5083
662,4084
663,4000
664,3708
665,3875
666,3791
667,3708
668,3959
669,3666
670,5042
671,3750
672,4083
673,3875
674,4167
675,3750
676,3709
677,3917
678,4416
679,3875
680,4000
681,4375
682,4334
683,4042
684,3833
685,3708
686,4541
687,4417
688,3833
689,3750
690,4208
691,4000
692,4084
693,4083
694,4500
695,3958
696,3791
697,4625
698,4000
699,3667
700,4000
701,4084
702,4416
703,4042
704,3959
705,3834
706,4042
707,3792
708,4667
709,3958
710,3833
711,4459
712,3708
713,3791
714,3750
715,3708
716,4167
717,3959
718,3750
719,4291
720,4208
721,3709
722,3958
723,3791
724,4167
725,3875
726,3708
727,4709
728,3709
729,3750
730,3750
731,3959
732,3708
733,3708
734,3750
735,4709
736,3709
737,3708
738,3666
739,3792
740,3709
741,3708
742,4125
743,4416
744,4083
745,4167
746,3666
747,3709
748,4292
749,3708
750,3709
751,3875
752,4542
753,3875
754,3708
755,3708
756,4417
757,3834
758,4000
759,4042
760,4875
761,3833
762,4250
763,4000
764,4125
765,3958
766,4042
767,4167
768,4334
769,3959
770,3708
771,3833
772,3917
773,3708
774,3875
775,3750
776,4833
777,3834
778,4292
779,3708
780,3917
781,3958
782,3791
783,4000
784,4708
785,3834
786,4542
787,3958
788,3709
789,4125
790,3792
791,3958
792,4208
793,4291
794,4000
795,3958
796,3792
797,3917
798,3709
799,3750
800,3834
801,5417
802,4167
803,3917
804,3750
805,4125
806,3917
807,3833
808,3750
809,4417
810,3833
811,4042
812,3958
813,4458
814,3791
815,3875
816,5083
817,4375
818,3834
819,3917
820,4042
821,3792
822,3792
823,4125
824,4875
825,4667
826,3667
827,3875
828,3875
829,3792
830,3875
831,3750
832,3667
833,4208
834,3750
835,3833
836,3875
837,4042
838,3958
839,3708
840,4958
841,3792
842,4792
843,3667
844,3709
845,4000
846,3958
847,3791
848,4042
849,4041
850,4708
851,3709
852,4416
853,3875
854,3708
855,4084
856,3875
857,3666
858,4792
859,4125
860,3750
861,4083
862,4209
863,4750
864,3834
865,3833
866,4750
867,4041
868,4000
869,4375
870,4042
871,4291
872,4125
873,3708
874,4500
875,4084
876,4000
877,3959
878,4375
879,3959
880,3875
881,3792
882,3875
883,4583
884,4042
885,4042
886,3750
887,3709
888,3792
